이름,팀,출장,완투,완봉,선발,승,패,세,홀드,이닝,실점,자책,타자,안타,2타,3타,홈런,볼넷,고4,사구,삼진,보크,폭투,ERA,FIP,WHIP,ERA+,FIP+,WAR,WPA
고우석,국가대표,61,0,0,0,4,2,42,0,60.2,12,10,240,37,7,1,6,21,4,1,80,0,5,1.48,2.88,0.96,267.9,136.1,3.71,3.49
정우영,국가대표,67,0,0,0,2,3,0,35,58,18,17,248,48,3,2,3,32,5,6,40,0,0,2.64,4.34,1.38,150.7,92.9,2.17,1.79
고영표,국가대표,28,1,1,28,13,8,0,0,182.1,69,66,758,191,31,3,7,23,1,16,156,0,1,3.26,2.75,1.17,126.4,148.2,4.5,2.38
소형준,국가대표,27,0,0,27,13,6,0,0,171.1,68,58,703,158,16,6,8,39,1,5,117,0,6,3.05,3.33,1.15,135.2,122.3,4.28,1.41
이용찬,국가대표,59,0,0,0,3,3,22,0,60.2,16,14,253,56,6,1,3,13,0,3,61,0,1,2.08,2.76,1.14,196.1,148.2,2.93,2.45
원태인,국가대표,27,0,0,27,10,8,0,0,165.1,75,72,700,175,25,1,16,38,3,4,130,0,3,3.92,3.73,1.29,106.5,111.1,2.52,0.74
김원중,국가대표,43,0,0,0,2,3,16,2,43,21,19,187,40,10,1,4,16,3,0,60,0,3,3.98,2.66,1.3,104.7,153.2,0.79,0.26
박세웅,국가대표,28,0,0,28,10,11,0,0,157.1,80,66,679,180,32,4,8,32,1,8,146,0,7,3.78,2.89,1.35,110.3,141.6,1.87,-0.14
곽빈,국가대표,27,0,0,27,8,9,0,0,147.2,69,62,645,143,30,0,13,60,1,11,138,1,9,3.78,4.04,1.38,105.3,98.3,2.36,0.45
정철원,국가대표,58,0,0,0,4,3,3,23,72.2,26,25,294,60,12,2,4,26,2,2,47,0,7,3.1,3.83,1.18,128.5,104.6,2.51,1.1
김광현,국가대표,28,0,0,28,13,3,0,0,173.1,48,41,694,141,16,2,10,45,2,5,153,0,1,2.13,3.15,1.07,195.5,132.7,6.1,3.63
김윤식,국가대표,23,0,0,23,8,5,0,0,114.1,46,42,483,125,22,1,5,27,2,1,81,0,4,3.31,3.17,1.33,120.2,126.4,2.13,1.2
양현종,국가대표,30,0,0,30,12,7,0,0,175.1,86,75,743,170,33,3,14,50,1,3,141,0,3,3.85,3.66,1.26,105.9,112.1,1.68,0.27
이의리,국가대표,29,0,0,28,10,10,0,0,154,79,66,671,128,26,4,18,74,0,9,161,0,7,3.86,4.38,1.31,105.7,93.7,1.26,-0.53
구창모,국가대표,19,0,0,19,11,5,0,0,111.2,32,26,451,92,16,0,7,29,0,4,108,0,7,2.1,3.11,1.08,194.4,132,3.96,2.49
