선수,G,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,wOBA,wRC+,타자WAR,타자WPA
양의지,130,510,427,61,121,24,0,20,205,94,3,1,60,13,6,48,16,0,10,0.283,0.38,0.48,0.861,0.386,140.3,4.61,0.76
장성우,117,420,362,48,94,11,0,18,159,55,1,0,52,2,2,79,12,1,3,0.26,0.353,0.439,0.792,0.36,121.8,3.39,0.5
박병호,124,487,429,72,118,17,0,35,240,98,5,3,40,12,3,131,7,0,6,0.275,0.349,0.559,0.909,0.399,147.8,3.85,3.71
오재일,135,536,470,57,126,42,0,21,231,94,2,1,58,1,8,133,7,0,7,0.268,0.345,0.491,0.837,0.37,126.5,2.83,0.86
김혜성,121,529,482,76,153,17,7,4,194,45,32,7,44,0,3,78,8,0,3,0.318,0.373,0.403,0.776,0.36,123.9,4.49,1.17
최정,116,485,397,77,106,20,0,25,201,84,12,5,63,18,3,92,6,0,6,0.266,0.386,0.505,0.891,0.4,145.4,4.94,3.57
노진혁,115,451,396,50,111,24,0,15,180,75,2,0,45,2,3,105,11,3,5,0.28,0.353,0.455,0.807,0.362,125.1,3.31,1.13
오지환,138,554,481,73,129,16,4,24,226,85,19,7,60,7,2,104,11,3,3,0.269,0.357,0.47,0.827,0.372,138.6,5.61,2.49
김현수,137,588,510,76,146,24,2,22,241,103,2,1,69,5,7,60,5,0,3,0.286,0.375,0.473,0.848,0.382,145.1,4.75,2.62
이정후,133,586,517,79,180,34,9,22,297,106,5,0,62,5,11,30,9,0,3,0.349,0.421,0.575,0.996,0.441,182.5,8.63,6.28
최지훈,144,640,570,93,173,32,4,10,243,61,31,7,47,7,0,77,7,12,4,0.304,0.362,0.426,0.788,0.357,120.8,4.78,1.77
나성범,144,649,563,92,180,39,2,21,286,97,6,1,64,17,6,137,7,0,5,0.32,0.402,0.508,0.91,0.411,157.4,6.5,3.74
한유섬,130,523,440,60,116,32,1,20,210,96,1,1,63,15,6,132,8,0,5,0.264,0.373,0.478,0.851,0.382,134.9,3.74,3.31
