선수,팀,출장,완투,완봉,선발,승,패,세,홀드,이닝,실점,자책,타자,안타,2타,3타,홈런,볼넥,고4,사구,삼진,보크,폭투,ERA,FIP,WHIP,ERA+,FIP+,투수WAR,투수WPA
안우진,국가대표,28,1,0,28,14,7,0,0,183.1,48,43,716,122,34,4,4,51,1,4,209,1,7,2.11,2.21,0.95,189.3,179.1,7.41,5.29
김광현,국가대표,27,0,0,27,12,3,0,0,166.1,46,39,666,135,15,2,10,43,2,5,147,0,1,2.13,3.15,1.07,195.5,132.7,5.86,3.49
고영표,국가대표,28,1,1,28,13,8,0,0,182.1,69,66,758,191,31,3,7,23,1,16,156,0,1,3.26,2.75,1.17,126.4,148.2,4.5,2.38
소형준,국가대표,27,0,0,27,13,6,0,0,171.1,68,58,703,158,16,6,8,39,1,5,117,0,6,3.05,3.33,1.15,135.2,122.3,4.28,1.41
구창모,국가대표,19,0,0,19,11,5,0,0,111.2,32,26,451,92,16,0,7,29,0,4,108,0,7,2.1,3.11,1.08,194.4,132,3.96,2.49
엄상백,국가대표,33,0,0,22,11,2,0,0,140.1,52,46,581,125,24,2,14,46,0,4,139,0,1,2.95,3.72,1.22,139.6,109.6,3.31,1.7
김윤식,국가대표,22,0,0,22,8,5,0,0,111.1,45,41,470,122,21,1,5,26,2,1,79,0,4,3.31,3.17,1.33,120.2,126.4,2.08,1.17
원태인,국가대표,27,0,0,27,10,8,0,0,165.1,75,72,700,175,25,1,16,38,3,4,130,0,3,3.92,3.73,1.29,106.5,111.1,2.52,0.74
고우석,국가대표,59,0,0,0,4,2,41,0,59,12,10,234,36,7,1,6,20,4,1,78,0,5,1.48,2.88,0.96,267.9,136.1,3.61,3.39
김재웅,국가대표,61,0,0,0,3,2,12,25,58.2,13,13,238,36,7,1,4,27,2,4,52,0,4,2.01,3.87,1.09,198.9,102.3,3.38,3.28
김민수,국가대표,76,0,0,0,5,4,3,30,80.2,19,17,327,66,13,1,3,15,3,6,91,0,6,1.9,2.24,1,217.1,182.9,4.01,2.33
정우영,국가대표,65,0,0,0,2,3,0,34,56.1,18,17,241,47,3,2,3,31,5,6,39,0,0,2.64,4.34,1.38,150.7,92.9,2.11,1.75
구승민,국가대표,73,0,0,0,2,4,0,25,62,20,20,263,46,8,1,3,35,4,1,77,0,7,2.9,3.03,1.31,143.4,135.2,2.42,1.07
정해영,국가대표,55,0,0,0,3,7,32,0,56,21,21,238,54,12,1,3,18,1,0,43,0,0,3.38,3.41,1.29,120.8,120,1.78,1.31
이용찬,국가대표,59,0,0,0,3,3,22,0,60.2,16,14,253,56,6,1,3,13,0,3,61,0,1,2.08,2.76,1.14,196.1,148.2,2.93,2.45
